Distance_mi,Temperature_F,Wind_Chill_F,Humidity,Pressure_in,Visibility_mi,Wind_Speed_mph,Precipitation_in,HighLowSeverity
1.011,81,81,42,29.11,10,8,0,1
2.895,87,87,33,28.5,10,8,0,0
0.043,32,32,100,29.26,2,0,0.01,0
1.541,46,40,45,25.14,10,12,0,0
0.072,77,77,49,29.84,10,3,0,0
4.657,47,39,41,29.57,10,24,0,0
0.608,91,91,26,30.05,10,14,0,0
0.249,68,68,100,28.37,10,7,0,0
0.34,42,42,45,30.02,10,3,0,0
0.433,54,54,94,29.47,4,5,0,0
0.069,49,47,93,29.51,2,5,0.02,0
0.019,75,75,96,29.95,3,9,0.43,0
0.277,59,59,96,29.49,3,9,0,0
0.025,85,85,65,29.83,10,8,0,0
2.636,39,35,67,29.83,10,6,0,0
0.822,46,39,31,30.1,10,17,0,0
3.283,82,82,66,29.83,10,7,0,0
2.221,26,18,92,25.54,8,7,0,0
0.945,59,59,81,29.88,10,9,0,0
0.406,81,81,69,30.19,10,17,0,0
0.617,99,99,22,29.59,10,9,0,0
0.135,41,41,33,30.22,10,3,0,0
0.318,75,75,36,29.74,10,6,0,0
0.05,56,56,80,30.19,9,0,0,0
0.289,51,51,66,29.2,10,9,0,0
1.351,81,81,42,29.13,10,12,0,0
0.553,84,84,66,29.17,10,14,0,0
0.304,30,22,59,27.37,10,9,0,0
0.399,64,64,94,29.82,10,0,0,0
0.009,61,61,46,26,10,3,0,0
0.017,85,85,53,29.98,10,14,0,0
0.136,73,73,81,29.76,10,14,0,0
0.481,52,52,94,28.4,7,7,0.03,0
0.152,52,52,66,30.19,10,7,0,0
0.417,47,47,66,29.86,10,0,0,0
0.26,70,70,47,29.79,10,13,0,0
0.225,80,80,69,29.92,10,0,0,0
3.254,70,70,76,30.05,10,3,0,0
0.033,77,77,44,29.98,10,8,0,0
0.052,67,67,73,29.91,10,0,0,0
3.304,59,59,37,28.88,10,3,0,0
0.173,71,71,19,29.67,10,17,0,0
0.009,76,76,50,29.93,10,3,0,0
1.255,49,49,56,30.12,10,0,0,0
0.118,66,66,36,29.97,10,14,0,0
1.6,72,72,94,29.05,9,9,0,0
0.186,64,64,67,29.13,5,3,0,0
1.972,73,73,22,30.45,10,12,0,0
0.807,51,51,46,28.99,10,10,0,0
1.222,70,70,59,29.96,10,20,0,0
0.049,86,86,67,29.96,10,0,0,0
0.155,86,86,55,29.95,10,7,0,0
0.273,63,63,29,25.75,10,8,0,0
1.707,61,61,41,28.72,10,10,0,0
0.111,78,78,50,29.99,10,8,0,0
1.298,45,45,93,29.24,10,0,0,0
0.06,82,82,67,29.95,10,6,0,0
0.503,86,86,70,29.91,10,9,0,0
0.087,68,68,63,29.93,10,9,0,0
0.374,72,72,18,29.89,10,14,0,0
0.241,72,72,91,29.01,10,0,0,0
0.572,58,58,78,29.84,10,3,0,0
0.66,53,53,83,28.98,10,3,0,0
5.823,57,57,77,23.28,10,6,0,0
0.045,55,55,71,29.37,10,13,0,0
0.06,80,80,39,29.41,10,0,0,0
0.221,74,74,55,30,10,16,0,0
0.032,82,82,15,29.85,10,5,0,0
0.79,61,61,42,30.31,10,7,0,0
0.712,59,59,55,27.85,10,13,0,0
0.835,67,67,76,29.53,10,0,0,0
0.844,54,54,100,29.96,3,0,0,0
1.817,50,50,100,29.6,10,9,0,0
0.04,37,37,93,29.99,10,0,0,0
0.61,82,82,74,29.72,10,16,0,0
0.751,76,76,87,30.05,10,14,0.13,0
0.105,57,57,64,30.17,10,9,0,0
0.017,61,61,97,29.49,10,0,0,0
0.083,66,66,84,30.13,10,5,0,0
2.753,67,67,84,29.78,7,0,0,0
0.004,81,81,45,29.77,10,8,0,0
0.065,53,53,55,29.43,10,7,0,0
0.481,80,80,76,29.44,10,7,0,0
1.467,53,53,30,29.75,10,13,0,0
3.286,76,76,91,30.03,2,7,0.13,0
0.546,59,59,88,30.02,10,7,0,0
0.487,60,60,75,28.97,2,0,0,0
0.027,65,65,69,29.26,10,3,0,0
1.292,75,75,87,29.47,10,6,0,0
0.085,74,74,82,30.17,10,8,0,0
1.518,77,77,66,29.6,10,14,0,0
0.294,74,74,89,30.02,10,0,0,0
0.096,74,74,71,29.79,8,13,0,0
0.01,77,77,45,28.98,10,3,0,0
0.695,66,66,20,29.89,10,0,0,0
0.112,63,63,60,30.4,10,17,0,0
3.599,76,76,94,29.91,10,7,0.53,0
0.387,77,77,71,29.9,10,6,0,0
0.433,70,70,81,29.36,10,6,0,0
0.147,93,93,54,29.83,10,10,0,0
1.039,30,30,75,29.26,10,3,0,0
0.117,76,76,82,30.01,10,0,0,0
2.997,60,60,90,29.96,10,0,0,0
0.208,86,86,48,29.99,10,14,0,0
2.998,38,38,60,29.29,10,0,0,0
0.066,55,55,96,29.91,0,0,0,0
2.183,89,89,40,28.68,10,0,0,0
0.6,89,89,55,29.85,10,5,0,0
0.985,61,61,52,29.97,10,8,0,0
0.517,75,75,73,29.36,10,0,0,0
0.443,71,71,30,29.77,10,26,0,0
0.282,69,69,93,29.6,10,9,0.02,0
0.525,68,68,47,29.91,10,9,0,0
0.115,86,86,70,29.99,10,8,0,0
0.359,55,55,72,29.83,10,9,0,0
1.143,81,81,79,30.11,2,9,0,0
0.109,84,84,40,29.08,10,6,0,0
0.044,65,65,61,29.9,10,0,0,0
1.608,62,62,86,29.99,0.75,21,0.16,0
0.589,32,32,100,23.9,0.5,0,0,0
0.073,81,81,45,29.79,10,8,0,0
0.042,61,61,94,29.85,10,17,0,0
0.604,69,69,93,30.03,5,5,0.06,0
1.219,45,43,86,29.93,10,5,0,0
1.002,81,81,16,28.97,10,14,0,0
0.197,57,57,96,29.42,3,10,0.13,0
0.159,73,73,22,28.79,10,0,0,0
0.167,86,86,48,29.74,10,5,0,0
0.934,76,76,76,29.9,10,15,0,0
0.014,79,79,79,29.77,9,0,0,0
0.295,15,5,77,29.11,2,7,0,0
0.094,83,83,63,29.9,10,14,0,0
0.887,42,42,89,29.96,6,0,0,0
0.05,56,56,72,30.09,10,0,0,0
1.275,83,83,42,29.81,10,10,0,0
0.629,85,85,41,29.44,9,12,0,0
0.248,45,45,100,30.02,5,3,0,0
0.117,55,55,51,29.59,10,17,0,0
0.017,60,60,39,29.84,10,7,0,0
0.168,48,48,93,29.83,4,3,0,0
0.077,46,40,93,30.01,10,14,0,0
0.318,82,82,76,29.89,10,9,0,0
0.133,86,86,65,30.05,10,13,0,0
0.106,45,41,30,29.5,10,8,0,0
0.032,82,82,51,29.98,10,12,0,0
2.572,68,68,89,29.88,10,0,0,0
1.031,54,54,90,29.67,5,14,0.11,0
0.794,32,26,75,28.75,5,6,0,0
0.614,55,55,77,28.96,10,0,0,0
2.34,33,24,21,24.11,10,12,0,0
4.167,38,38,76,29.26,10,0,0,0
0.107,40,33,22,29.87,10,10,0,0
0.896,47,45,52,30.39,10,5,0,0
0.169,76,76,54,29.34,10,9,0,0
0.128,86,86,67,30.06,10,12,0,0
3.101,95,95,28,29.22,10,17,0,0
0.022,84,84,60,30.05,10,14,0,0
2.368,67,67,93,29.79,10,9,0,0
2.175,34,34,96,30.23,10,0,0,0
0.136,82,82,45,29.11,10,10,0,0
0.742,73,73,68,30.08,10,9,0,0
0.112,49,46,83,30.17,10,7,0,0
0.248,76,76,86,30.1,10,8,0,0
0.287,81,81,91,29.93,10,5,0,0
0.109,79,79,88,29.94,10,9,0.01,0
0.841,60,60,64,29.96,10,7,0,0
0.069,89,89,43,29.66,10,10,0,0
1.259,69,69,90,28.97,10,0,0,0
0.469,70,70,41,30.18,10,7,0,1
0.043,87,87,57,30.05,10,9,0,0
0.345,54,54,69,29.5,10,3,0,0
0.215,46,44,93,29.99,8,5,0,0
0.142,87,87,61,29.91,10,12,0,0
0.01,54,54,26,28.58,10,3,0,0
0.956,60,60,80,30,10,6,0,0
0.081,31,31,79,29.66,10,0,0,0
0.219,86,86,35,29.84,10,9,0,0
0.199,37,29.3,89,29.89,7,11.5,0.01,0
